Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,227283,33943,3500,157649,66731,24715,20211,43069,690739,27270,8728,101120,59535,55913,12071,42110,92832,440237,14472,210917,41146
500,110888,38578,3524,63802,60095,21404,23764,308645,76531,29784,6814,345070,96304,200548,14429,301257,77447,1105321,13280,579969,117811
750,121537,43971,4640,59646,53482,18297,22466,652593,77191,31436,9536,633780,62522,463755,13782,529011,92879,1683321,13524,964829,214464
1000,101089,52355,4003,56804,53472,17377,22231,935768,82396,38633,9776,1021161,55082,772373,14147,866131,61432,2416556,13597,1355616,304152
1250,15473485,47519,3674,54523,58286,18903,23239,1694496,293681,30046,10472,3711536,52059,1148877,14126,1342378,94096,5007078,14033,1700718,370941
1500,122529,48041,3641,54929,92135,18055,24640,1978748,76980,30198,10374,1952055,49190,1601739,14369,1859405,56357,7826694,11732,2127027,459226
1750,127255,48955,3592,51533,62491,19403,20382,3013854,102882,32420,10614,2545166,46209,2178349,14429,2370568,51384,4706421,15646,2574415,613089
2000,110790,51168,4246,58182,108033,18497,28888,3798477,78777,29903,10712,3171902,45886,3047435,15338,2944701,53028,5099482,14062,3218507,715347
2250,110139,52343,3589,70132,79137,19481,21644,4617823,73970,29754,10732,3922607,45170,4148748,20397,9379118,136792,6085108,50467,3445272,799185
2500,109240,53393,3768,120625,74479,17182,156286,7490740,124158,32997,10022,11897697,44050,4737855,20984,4405817,54414,6753568,13428,3898652,1691341
2750,125580,64770,3703,63025,63230,17346,28495,10530071,65737,31764,9773,5559544,51793,5526841,22464,4830247,52686,7327879,14339,4234074,1129498
3000,111689,54141,4015,65656,70124,19708,25713,6725798,99174,31810,9381,7154747,49963,6113748,32953,5452298,58908,7945875,16306,4713942,1149598
3250,109257,56118,3819,835713,52144,17695,24852,7324790,71057,34173,9553,6954675,79331,6841861,22180,6086338,51477,8549712,13547,5065180,1254362
3500,114981,55712,3780,52256,51839,16755,73280,8299424,68613,38938,9780,7498818,46675,7380724,29605,7099727,49927,9423452,11981,5728627,1425005
3750,117900,56970,3755,49310,49991,18859,23950,8550098,70529,46206,9712,8386530,45122,8067909,20116,7239918,47814,9944435,13292,6078548,3003799
4000,107333,58250,3704,50330,49390,18634,38088,9168688,69428,33483,9922,8344524,43664,8495135,17996,7687119,55439,10620363,12138,6671955,1672058
4250,108885,58372,4117,63577,48964,18958,26432,9824164,70336,31298,10272,8429064,43538,9221416,18764,8109081,197811,11561696,11622,6834147,1772688
4500,105575,73896,3660,53251,48407,27411,28113,10290777,72078,37439,10225,8872327,42453,9954686,20870,8611572,55758,11959372,15178,7222062,8015272
4750,126886,60167,4040,52413,105925,17072,27778,11442060,70775,34223,10235,9376583,49018,11281122,18270,9023952,55041,13023301,12899,7638229,6215794
5000,108465,59552,4171,50219,52315,18382,23863,11713955,68783,37484,9746,9925176,49069,11877236,17798,9592942,51259,13480412,11328,8026104,2604866
5250,111433,60960,4045,48660,50142,17769,25308,12087539,194449,39953,8014,10232107,46253,12685406,18752,10008501,51573,14211833,13453,8536673,2276829
5500,114928,61493,4078,47929,61848,20032,27252,12650409,61478,70488,7690,10694115,40387,12929286,23924,10474845,62126,15081078,11022,8910471,2507751
5750,117528,62278,4570,49824,49463,18586,25084,13361106,73468,38777,9718,11049722,42669,13536532,22403,10901657,52817,15510660,10947,9332386,2648550
6000,110426,66589,4098,55099,50465,21778,23861,13643258,66465,49102,9312,11528643,42252,14262341,21991,11435006,49589,16098583,13768,10173007,2601695
6250,162129,83228,4485,63111,49701,20759,25895,14437141,65601,37506,9449,12164465,41701,14860247,22920,12252673,46747,16784915,11622,10106575,2796325
6500,215780,64244,5054,55220,65758,17224,24383,15101657,66644,37698,9636,12371333,41703,15629013,35762,12310051,53519,18865053,14075,10600352,2940387
6750,120079,67213,4686,51393,54903,17187,28228,15995023,68385,35917,9517,12879930,43497,15977576,21103,12766157,45941,18590370,12342,10983180,3093339
7000,111714,64939,4632,49753,50071,19591,65287,16383770,65569,36718,9563,13546503,50428,16843601,21201,13021028,44007,20978357,12146,11357535,3108281
7250,130349,66809,4292,47496,50686,17515,26956,17322634,74735,39246,9419,13999717,46068,17172400,22107,13636707,47636,19877398,11898,11883622,3194215
7500,115329,70157,4404,45102,46864,17958,23300,17824390,69526,39322,9336,14147948,44624,17849434,22241,14042597,66735,20361299,11880,12199135,3386674
7750,114244,83555,3850,46823,46317,19272,25367,17743226,68426,38004,9617,14901417,43860,16782548,22423,14671870,53524,21385148,11620,12704672,3487853
8000,111350,69328,3825,45679,44884,21764,27856,18974768,66273,40545,9268,15350504,41814,17307675,21982,15429781,48305,21820963,11715,13274152,3545324
